"distinguish","telic","telic","telic"
"blended","telic","telic","telic"
"iced","telic","telic","telic"
"debarred","telic","telic","atelic"
"inspire","atelic","telic","telic"
"ruin","telic","telic","telic"
"reflect","atelic","atelic","telic"
"freed","telic","telic","telic"
"gulping","atelic","atelic","atelic"
"invited","telic","telic","telic"
"scanned","atelic","telic","telic"
"simplifying","telic","telic","telic"
"slant","atelic","atelic","atelic"
"disrupt","telic","telic","atelic"
"presenting","telic","telic","atelic"
"crumbled","telic","telic","atelic"
"daydream","atelic","atelic","atelic"
"bested","telic","telic","telic"
"categorized","telic","telic","telic"
"divulged","telic","telic","telic"
"made","telic","telic","telic"
"bang","telic","telic","telic"
"baby-sitting","atelic","atelic","atelic"
"extort","telic","telic","telic"
"REEVALUATE","telic","telic","telic"
"impart","telic","telic","telic"
"celebrate","telic","atelic","telic"
"rebuke","telic","telic","telic"
"conceived","telic","telic","telic"
"sheltered","atelic","atelic","atelic"
"nominated","telic","telic","telic"
"executed","telic","telic","telic"
"gliding","telic","atelic","atelic"
"vomited","dummy_t","telic","telic"
"budge","telic","telic","telic"
"outlining","telic","telic","atelic"
"firing","atelic","atelic","atelic"
"capsized","telic","telic","telic"
"transformed","telic","telic","telic"
"salvaged","telic","telic","telic"
"conversing","atelic","atelic","atelic"
"messed","telic","telic","telic"
"prospered","atelic","atelic","telic"
"scar","telic","telic","telic"
"elongated","atelic","atelic","telic"
"looked","telic","telic","telic"
"crash","telic","telic","telic"
"cured","telic","telic","telic"
"eliminating","telic","telic","telic"
"slaking","atelic","atelic","atelic"
"fended","telic","telic","telic"
"repealed","telic","telic","telic"
"staking","telic","telic","atelic"
"spilled","telic","telic","telic"
"master","telic","telic","telic"
"stick","atelic","telic","telic"
"flooded","telic","telic","telic"
"wrangle","atelic","atelic","atelic"
"outfit","telic","telic","telic"
"repine","atelic","atelic","telic"
"gyrating","atelic","atelic","atelic"
"deleted","telic","telic","telic"
"twinkle","atelic","telic","atelic"
"devolved","telic","telic","telic"
"approximate","telic","telic","atelic"
"advised","telic","telic","telic"
"miscarry","telic","telic","atelic"
"circumventing","telic","telic","telic"
"bake","telic","telic","telic"
"rummaged","atelic","atelic","telic"
"redouble","telic","telic","telic"
"glanced","telic","telic","telic"
"opened","telic","telic","telic"
"convulsing","atelic","atelic","atelic"
"fished","atelic","atelic","atelic"
"badger","atelic","atelic","atelic"
"expelled","telic","telic","telic"
"scurried","telic","telic","telic"
"bothering","atelic","telic","atelic"
"deputising","telic","atelic","atelic"
"dubbed","telic","telic","telic"
"overstepped","telic","telic","telic"
"moderate","telic","telic","atelic"
"curtailed","telic","telic","telic"
"beseeched","atelic","atelic","telic"
"witness","telic","telic","telic"
"screamed","atelic","telic","telic"
"retched","atelic","telic","telic"
